Instance,BestFitness_GA,BestFitness_random,Objective,Gap(%),ExecutionTime(s)_GA,ExecutionTime(s)_random,ExecutionTime(s)_Exact
1,1760.5,1441.0,1440.0,22.256944444444443,6.244,6.224,0.145
2,2044.0,2029.0,2892.5,0.0,11.442,18.94,0.058
3,720.5,485.0,721.0,0.0,7.653,16.681,0.066
4,1561.0,1377.0,1558.5,0.16041065126724416,10.747,17.661,2.077
6,2206.5,2641.5,2351.5,0.0,18.62,14.248,72.225
8,1617.5,1492.0,1879.5,0.0,11.632,24.024,512.864
11,1196.0,1038.0,1304.0,0.0,6.771,11.918,0.145
14,1253.0,1333.5,1376.0,0.0,11.92,16.509,15.63
15,1007.5,1307.5,1342.5,0.0,6.051,9.07,0.025
16,591.0,699.0,589.5,0.2544529262086514,7.832,15.142,0.062
17,750.0,1085.5,745.0,0.6711409395973155,5.231,11.006,0.025
18,2936.5,2105.0,2541.0,15.56473829201102,11.846,23.358,3191.797
20,3103.0,3101.5,3331.0,0.0,17.339,30.138,6034.373
21,1275.5,1564.5,1693.5,0.0,7.255,16.958,0.252
22,833.5,832.0,832.0,0.18028846153846154,6.161,19.566,0.036
23,1074.0,1074.5,1073.5,0.04657661853749418,8.994,22.378,2.94
27,1373.0,1628.0,1367.5,0.40219378427787933,12.627,8.186,13.141
28,1065.0,1627.0,1058.0,0.6616257088846881,13.349,6.503,0.112
